Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
DISTRIBUTOR AGREEMENT,Document Name,DISTRIBUTOR AGREEMENT
"B & C General Warehouse Corporation LLC, ""Company"", XXXXXXXXXXXXXXXXXXXXX, ""Distributor"", XXXXXXXXXXXXXXXXXXXXX, ""Company"", B & C General Warehouse Corporation LLC",Parties,"B & C General Warehouse Corporation LLC (""Company""); XXXXXXXXXXXXXXXXXXXXX (""Distributor"")"
1 August 2019,Agreement Date,08/01/2019,Effective Date,08/01/2019
This Agreement shall become effective on the date first written above and shall continue in effect for a period of Three (3) years.,Expiration Date,08/01/2022
Distributor shall have the option to renew this Agreement for an additional Three (3) year period by providing prior written notice to Company within Ninety (90) days of the end of the initial period of this Agreement.,Renewal Term,3 years
"This Agreement is a contract under the laws of the State of Florida and for all purposes shall be governed by and construed in accordance with the substantive laws of the State of Florida, without regard to its principles of conflicts of laws provisions.",Governing Law,Florida
"Such Prices and Volume Discount Prices shall only be subject to increase once per year on each anniversary date of this Agreement, provided (i) Company provides Distributor with at least Ninety (90) days prior written notice of any such increase, and (ii) such increase does not exceed 5% of the preceding yearÕs Prices, except for reasons of force majeure, (Chapter 10), and Volume Discount Prices nor the lowest price charged to others for the same Product.",Most Favored Nation,Yes,Price Restrictions,Yes
"Subject to the terms and conditions of this Distributor Agreement, Company hereby appoints and grants Distributor the exclusive right to sell and distribute the Products to customers that Distributor introduce and confirmed by Company, (in all territory of United State of America (USA) and to render other services as a distributor for Company as set forth herein.",Exclusivity,Yes
"Company shall not sell or otherwise supply, directly or indirectly, the Products to any DistributorÕs CustomerÕs, except by sale through the Distributor.",Exclusivity,Yes
"The Company shall not contact any of DistributorÕs CustomerÕs for any reason, without the prior written approval of Distributor.",No-Solicit of Customers,Yes
"Neither Party shall assign, pledge or otherwise transfer any of its rights, interest or obligations hereunder, whether by operation of law or otherwise, without the prior express written consent of the other Party.",Anti-assignment,Yes
"Subject to CompanyÕs right to increase the price only once per year per the terms and restrictions contained in the Agreement, and CompanyÕs right to decrease the price at any time upon notice, the Products shall be sold by Company to Distributor at the following Prices and Volume Discount Prices.",Price Restrictions,Yes
"In addition to any other responsibilities stated in this Agreement, Company will: (a) Provide, at DistributorÕs reasonable request and without charge, up to 10 hours of training with regard to any characteristics of the Products that Distributor deems reasonably necessary for Distributor and its employees and agents to fulfill the purposes of DistributorÕs appointment,",Volume Restriction,Yes
"Distributor shall assign to Company, without charge, any rights in the trademarks of Company that may inure to the benefit of Distributor pursuant to this Agreement or otherwise.",IP Ownership Assignment,Yes
"In the event that this Agreement is terminated or expires on its own terms, Company shall have no further responsibilities to Distributor except that in the event the Agreement terminates for any reason other than a breach hereof by Distributor, Company shall be obligated to process orders accepted by Company prior to the effective date of such termination or expiration or within Ninety (90) days thereafter.",Post-termination Services,Yes
"IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY SPECIAL, INDIRECT, EXEMPLARY OR CONSEQUENTIAL DAMAGES ARISING OUT OF THIS AGREEMENT OR PURCHASE OR USE OF THE PRODUCTS.",Cap on Liability,Yes
"Within Seven (7) days of receipt of such Products, Distributor will notify Company of any shortages, defects, non-conformance, and Company will promptly replace such Products free of charge.",Warranty Duration,Yes
"Distributor shall not dispute or contest for any reason whatsoever, directly or indirectly, during the term of this Agreement and thereafter, the validity, ownership or enforceability of any of the trademarks of Company, nor directly or indirectly attempt to acquire or damage the value of the goodwill associated with any of the trademarks of Company, nor counsel, procure or assist any third Party to do any of the foregoing",Covenant Not To Sue,Yes
Distributor will not institute any proceedings with respect to the trademarks of Company either in DistributorÕs own name or on behalf of Company without express written permission of Company.,Covenant Not To Sue,Yes
