Clause,Label 1,Label 1-Answer
TALENT ENDORSEMENT AGREEMENT,Document Name,TALENT ENDORSEMENT AGREEMENT
"Tigrent Learning UK Limited, ""Company"", Celebrity Speakers, CSA, Robbie Fowler, ""Talent"", Robbie Fowler, CSA, Celebrity Speakers, ""Company"", Tigrent Learning UK Limited",Parties,"Tigrent Learning UK Limited (""Company""); Celebrity Speakers (""CSA""); Robbie Fowler (""Talent"")"
____ day of ______________ 2013,Agreement Date,[]/[]/2013
"""Commencement Date"" means: 1st January 2013.",Effective Date,01/01/2013
"""Term"" means: 1.5t January 2013 to 315t December 2013 or until terminated under the provisions of this Agreement or the Primary Agreement.",Expiration Date,12/31/2013
The period of license granted shall be for the Term and shall extend for a period of twenty four (24) months or until terminated as per clause 8 herein.,Renewal Term,2 years
"This Agreement shall be governed by the laws of England and Wales, and all actions brought hereunder whether at law or in equity shall be brought in England.",Governing Law,"England, United Kingdom; Wales, United Kingdom"
"Talent represents and warrants that he has not granted nor will he grant to any other party any right, permission, or license to use the Property in connection with the advertisement,  sale, or promotion of the Product or in connection with products that are identical or substantially similar to the Product.",Non-Compete,Yes
The Parties may not assign this Agreement or the rights and obligations hereunder to any third party without the prior express written approval of the other Party.,Anti-assignment,Yes
"In consideration for the licenses granted hereunder, Company agrees to pay to CSA as follows:   a. A  [***]in the amount of [***]of CompanyÕs revenues from sales of the Property Training  Course and all Products after deductions for VAT, returns, refunds",Revenue/Profit Sharing,Yes
"In accordance with the Primary Agreement, the Talent agrees that during the Term, he will make public appearances at the request of the Company, to include appearing at Company events and/or participating in photo shoots as requested by Company, not to exceed more than four such appearances or photo shoots per calendar year.",Volume Restriction,Yes
"Subject to the terms and conditions and in consideration of the payments set forth herein and in the Primary Agreement, CSA as disclosed agent for Talent grants to Company from the Commencement Date the right and license during the Term of this Agreement in the Territory to use the ""Property"" in connection with the advertisement, promotion, and sale of the Property Training Course and the Product as well as the right to use such Property on the Product and related packaging.",License Grant,Yes
"Talent agrees that Company shall, for a period of nine (9) months (Sell-Off Period) following the effective date of termination, have the right to continue to sell Product bearing  the Property and/or utilize advertising materials and collateral bearing the Property.",Post-termination Services,Yes
CSA shall have the right to request an independent audit of the sales of the Product containing the Property which the Company agrees to assist within a reasonable period of time of such request.,Audit Rights,Yes
