Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
STRATEGIC ALLIANCE AGREEMENT,Document Name,STRATEGIC ALLIANCE AGREEMENT
"Hyatt Franchising Latin America, L.L.C., ""Hyatt"", Playa Hotels & Resorts, B.V., ""Playa"", Hyatt and Playa are each referred to as a ""Party"" and collectively as the ""Parties."", ""Playa"", Playa Hotels & Resorts, B.V., ""Hyatt"", Hyatt Franchising Latin America, L.L.C.",Parties,"Hyatt Franchising Latin America, L.L.C. (""Hyatt""); Playa Hotels & Resorts, B.V. (""Playa"")(""Party"" and collectively as the ""Parties"")"
"December 14, 2016",Agreement Date,12/14/2016,Effective Date,12/14/2016
"Except to the extent governed by the Federal Arbitration Act or other federal law, this Agreement and all claims arising from the relationship between Hyatt (and/or any of its Affiliates) and Playa (and/or any of its Affiliates) under this Agreement will be governed by the laws of the State of Illinois (U.S.A.), without regard to its conflict of laws rules, except that any Illinois law or any other law regulating the offer or sale of franchises, business opportunities, or similar interests, or governing the relationship between a franchisor and a franchisee or any similar relationship, will not apply unless its jurisdictional requirements are met independently without reference to this Section 4.",Governing Law,Illinois
"During the period beginning on the Effective Date and ending on December 31, 2018 (the ""Development Term""), each Party (the ""Offering Party"") agrees to provide to the other Party (the ""Receiving Party"") a right of first offer with respect to any proposed offer or arrangement, which the Offering Party (or its affiliate) desires to accept, under which the Offering Party or one of its affiliates would acquire the ownership of real property in the Market Area (the ""Development Property"") on which a Hyatt All-Inclusive Resort would operate (a ""Development Opportunity"").",ROFR/ROFO/ROFN,Yes
"If the Offering Party is required to offer the Receiving Party a Development Opportunity pursuant to this Section 1, the Offering Party must deliver written notice to the Receiving Party, together with reasonable due diligence information in the Offering PartyÕs possession to enable the Receiving Party to evaluate the Development Opportunity (collectively, the ""Offer Notice"").",ROFR/ROFO/ROFN,Yes
The Receiving Party will have ten (10) business days after receiving the Offer Notice to notify the Offering Party whether the Receiving Party exercises its right of first offer for that Development Opportunity.,ROFR/ROFO/ROFN,Yes
"If the Receiving Party and exercises its right of first offer hereunder, and: (a) if the Receiving Party is Playa, then Playa (or its affiliate) and HyattÕs affiliate shall negotiate in good faith the terms of a management agreement and related documents under which Playa (or its affiliate) would manage a Hyatt All-Inclusive Resort on the Development Property (subject to a franchise agreement between Hyatt and the affiliate of Hyatt that would own the Development Property), provided that HyattÕs affiliate acquires the Development Property on terms acceptable to it within sixty (60) days after delivery of the Offer Notice, and (b) if the Receiving Party is Hyatt, then Playa or its affiliate shall negotiate in good faith the terms of a franchise agreement and related documents for the operation (and, if applicable, development) of the Hyatt All-Inclusive Resort on the Development Property, provided that PlayaÕs affiliate acquires the Development Property on terms acceptable to it within sixty (60) days after delivery of the Offer Notice.",ROFR/ROFO/ROFN,Yes
"If the Receiving Party declines its right of first offer with respect to any Development Opportunity, or fails to notify the Offering Party of its decision within the ten (10) business-day period described above, or if HyattÕs affiliate or PlayaÕs affiliate (as applicable) fails to acquire the Development Property within the sixty (60)-day period described above, then the right of first offer with respect to that Development Opportunity shall expire, and the Offering Party thereafter may acquire, develop and/or operate (and/or grant any other person or entity the right to acquire, develop and/or operate) an all-inclusive resort or other business on the Development Property without any restriction under this Agreement, subject to any restrictions under any Existing Franchise Agreement or other agreement between Hyatt (or its affiliate) and Playa (or its affiliate).",ROFR/ROFO/ROFN,Yes
"If a third party (who is not an affiliate of Hyatt) approaches Hyatt during the Development Term with a proposed offer or arrangement, which Hyatt desires to accept, under which the third party would operate a Hyatt All-Inclusive Resort in the Market Area, and if that third party has not then already designated a management company to operate that Hyatt All-Inclusive Resort, then Hyatt agrees to provide notice to Playa and introduce Playa to that third party for purposes of enabling Playa (at its option) to negotiate for the opportunity to manage that Hyatt All-Inclusive Resort for that third party.",ROFR/ROFO/ROFN,Yes
"Similarly, if a third party (who is not an affiliate of Playa) approaches Playa during the Development Term with a proposed offer or arrangement, which Playa desires to accept, under which Playa or its affiliate would manage an all- inclusive resort in the Market Area for that third party, and if that third party has not then already designated a brand under which that all-inclusive resort would operate, then Playa agrees to provide notice to Hyatt and introduce Hyatt to that third party for purposes of enabling Hyatt (at its option) to negotiate for the opportunity to provide that third party franchise rights to brand that resort as a Hyatt All-Inclusive Resort.",ROFR/ROFO/ROFN,Yes
