Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CONTENT LICENSE AGREEMENT,Document Name,CONTENT LICENSE AGREEMENT
"Beijing Sun Seven Stars Culture Development Limited, ""Licensor"", YOU ON DEMAND HOLDINGS, INC., ""Licensee"", YOU ON DEMAND HOLDINGS, INC., ""Licensor"", Beijing Sun Seven Stars Culture Development Limited",Parties,"Beijing Sun Seven Stars Culture Development Limited (""Licensor""); YOU ON DEMAND HOLDINGS, INC (""Licensee"")"
"December 21, 2015",Agreement Date,12/21/2015,Effective Date,12/21/2015
"The Term of this Agreement (the ""Term"") shall commence on the Effective Date listed above and continue for twenty (20) years, unless sooner terminated as provided in Section 7(b) [Term and Termination].",Expiration Date,12/21/2035
"This Agreement shall be governed by and construed in all respects in accordance with the laws of the State of New York, without giving effect to any conflicts of laws principles.",Governing Law,New York
"If, during the Term, Licensor develops or obtains the rights to license any live action or animated feature-length motion picture (each an ""Additional Title""), Licensor shall give Licensee the first right of negotiation for each Additional Title (i.e., the preferred vendor).",ROFR/ROFO/ROFN,Yes
"Licensee shall have the right to assign or sublicense any or all of its rights granted under this Agreement, in whole or in part, to third parties exhibiting the Titles in the ordinary course of LicenseeÕs business with prior written notice to Licensor and subject to the applicable limitations (if any) in Section 2(a)(i) [License Grant]",Anti-assignment,Yes
"Except as otherwise specified in the previous sentence, Licensee may not sublicense any of its rights under Section 2(a) [License Grant] without LicensorÕs prior written consent, which shall not be unreasonably withheld or delayed.",Anti-assignment,Yes
"Neither party may assign its rights, duties or obligations under this Agreement to any third party in whole or in part, without the other partyÕs prior written consent, except that (i) Licensee may assign its rights and obligations to this Agreement to any of its Affiliate or subsidiaries with the prior written consent of the Licensor, and (ii) Licensor may assign its rights and obligations in this Agreement to its Affiliates or subsidiaries and either party may assign this Agreement in its entirety to any purchaser of all or substantially all of its business or assets pertaining to the line of business to which this Agreement relates or to any Affiliate of the party without the other partyÕs approval.",Anti-assignment,Yes
"For content listed in Schedule A6 of Schedule A (each a ""Project""), Licensor will only grant Licensee certain profit participation rights, for certain durations, as detailed and set forth in Schedule A6 of Schedule A.",Revenue/Profit Sharing,Yes
"The consideration for the licenses granted by Licensor to Licensee under this Agreement is the issuance of the IP Common Shares as defined in the Amended and Securities Purchase Agreement, dated as of December 21, 2015, by and among the Licensee and the Licensor (the ""Share Consideration"").",Revenue/Profit Sharing,Yes
"In exchange for the Share Consideration, Licensor hereby grants to Licensee a non-exclusive, royalty-free, perpetual and non-perpetual license (subject to the duration and scope, and format limitations for which Licensor has the rights to each Title as specified in Schedule A1-A6 of Schedule A) to: i. license, exhibit, distribute, reproduce, transmit, perform, display, and otherwise exploit and make available each Title within the Territory in any language by VOD (including SVOD, TVOD, AVOD and free VOD) for Internet, TV and mobile platforms (including, but not limited to, OTT streaming services, Sites and Mobile Sites), subject to these limitations for each of the Title in Schedule A1-A6: 1) For Titles listed in Schedule A1-A2: Licensor can only grant Licensee distribution rights to up to six (6) MSOs plus two (2) of ChinaÕs Internet TV license holders or their OTT Internet-based video partners by VOD (including SVOD, TVOD, AVOD and free VOD). ChinaÕs current Internet TV license holders include: CNTV (_______/____), BesTV (___), Wasu (__), Southern Media Cooperation (____), Hunan TV (__ TV), China National Radio/Galaxy Internet TV (GITV) (____), and China Radio International (____ ____); 2 Source: IDEANOMICS, INC., 10-K, 3/30/20162) For Titles listed in Schedule A3: For ""____"": No satellite TV broadcasting rights granted. Titles other than ""_ ____"", ""____"" ,  ""_________"", "" _____""  (__192______ _),""_____ "", "" ____"", and ""___"" cannot be edited in any way; 3) For Titles listed in Schedule A4:  Other than the versions (dubbed or translated) in which the Titles in Schedule A4 already exist in (and were delivered in), no further dubbing, translation, or editing may be performed by any party on Schedule A4Õs Titles.",License Grant,Yes
"In exchange for the Share Consideration, Licensor hereby grants to Licensee a non-exclusive, royalty-free, perpetual and non-perpetual license (subject to the duration and scope, and format limitations for which Licensor has the rights to each Title as specified in Schedule A1-A6 of Schedule A) to: i. license, exhibit, distribute, reproduce, transmit, perform, display, and otherwise exploit and make available each Title within the Territory in any language by VOD (including SVOD, TVOD, AVOD and free VOD) for Internet, TV and mobile platforms (including, but not limited to, OTT streaming services, Sites and Mobile Sites), subject to these limitations for each of the Title in Schedule A1-A6: 1) For Titles listed in Schedule A1-A2: Licensor can only grant Licensee distribution rights to up to six (6) MSOs plus two (2) of ChinaÕs Internet TV license holders or their OTT Internet-based video partners by VOD (including SVOD, TVOD, AVOD and free VOD). ChinaÕs current Internet TV license holders include: CNTV (_______/____), BesTV (___), Wasu (__), Southern Media Cooperation (____), Hunan TV (__ TV), China National Radio/Galaxy Internet TV (GITV) (____), and China Radio International (____ ____); 2) For Titles listed in Schedule A3: For ""____"": No satellite TV broadcasting rights granted. Titles other than ""_ ____"", ""____"" ,  ""_________"", "" _____""  (__192______ _),""_____ "", "" ____"", and ""___"" cannot be edited in any way; 3) For Titles listed in Schedule A4:  Other than the versions (dubbed or translated) in which the Titles in Schedule A4 already exist in (and were delivered in), no further dubbing, translation, or editing may be performed by any party on Schedule A4Õs Titles.",License Grant,Yes
