Clause,Label 1,Label 1-Answer
Program Content License Agreement,Document Name,Program Content License Agreement
"Phoenix Satellite Television Company Limited, ""Party A"", ""Phoenix Satellite TV"", Beijing Tianying Jiuzhou Network Technology Co., Ltd., ""Party B"", Beijing Tianying Jiuzhou Network Technology Co., Ltd., ""Phoenix Satellite TV"", ""Party A"", Phoenix Satellite Television Company Limited",Parties,"Phoenix Satellite Television Company Limited (""Party A""""Phoenix Satellite TV""); Beijing Tianying Jiuzhou Network Technology Co., Ltd (""Party B"")"
"November 24, 2009",Agreement Date,11/24/2009
"This Agreement shall become effective on the date on which it is signed and affixed with the corporate seals by the authorized representative of each Party and have a term of five (5) years commencing as of the effective date hereof.November 24, 2009",Effective Date,11/24/2009
This Agreement shall become effective on the date on which it is signed and affixed with the corporate seals by the authorized representative of  each Party and have a term of five (5) years commencing as of the effective date hereof.,Expiration Date,11/24/2014
"The execution, validity, interpretation, enforcement and dispute resolution of this Agreement shall be governed by the PRC Law.",Governing Law,People's Republic of China
"Without Party AÕs consent, Party B may not enter into with any third party any agreement or cooperation which is identical with or similar to  this Agreement.",Non-Compete,Yes
"If Party A indicates expressly in writing that it refuses or is unable to provide such services, Party B may turn to third  parties for such other services; if, however, Party A agrees to provide such services, then the Parties shall   Ê  4  Source: PHOENIX NEW MEDIA LTD, F-1, 4/21/2011  Ê  Ê  negotiate in good faith the content, method and fees of such services",ROFR/ROFO/ROFN,Yes
"If Party A indicates expressly in writing that it refuses or is unable to provide such services, Party B may turn to third  parties for such other services; if, however, Party A agrees to provide such services, then the Parties shall   Ê negotiate in good faith the content, method and fees of such services.",ROFR/ROFO/ROFN,Yes
"In the event that  Ê  8.2.1Êone Party is in breach of its obligations hereunder and fails to cure such breach within ten (10) Business Days following the other  PartyÕs written notice thereof, then the non-breaching Party may terminate this Agreement;  Ê  8.2.2Êone Party enters into a bankruptcy process, Party BÕs shareholder or equity structure changes (not including changes to Party BÕs  shareholder or equity structure due to the Exclusive Call Option Agreement and Equity Pledge Agreement dated between  Party B, Phoenix Online and other relevant parties), or one Party ceases its business operation, then the other Party may send  a written notice of termination to such Party and this Agreement shall terminate as of the date on which such written notice is  served to such Party",Change of Control,Yes
Party B may not assign its rights and obligations hereunder without Party AÕs consent in writing and the successors and permitted assigns of  the Parties shall be bound by this Agreement.,Anti-assignment,Yes
"If Party B obtains any Intellectual Property Right in respect of the Program Content during its  use of the same, Party B shall notify Party A and, upon its request in writing, sign all documents and take all actions required to assign  such Intellectual Property Right to Party A, and ensure the Intellectual Property Right so obtained by Party A is legitimate, complete,  and free from any encumbrance",IP Ownership Assignment,Yes
"Both Parties agree that Party A shall license the Program Content required in Party B Business to Party B, and Party B shall accept the services  provided by Party A, to the extent, at the time or times, and in the manner as agreed to by the Parties herein.",License Grant,Yes
"Without  Party AÕs permission in writing, Party B may not disclose or sublicense the Program Content to any third party, except for the Program  Content related to Party B Business.",Non-Transferable License,Yes
