Clause,Label 1,Label 1-Answer
JOINT VENTURE CONTRACT,Document Name,JOINT VENTURE CONTRACT
"Baoding Fengfan Group Limited Liability Company, Party A, Valence Technology, Inc., Party B, Valence Technology, Inc., Party A, Baoding Fengfan Group Limited Liability Company",Parties,"Baoding Fengfan Group Limited Liability Company (""Party A""); Valence Technology, Inc. (""Party B"")"
"November 8, 2002",Agreement Date,11/08/2002
"""Effective Date"" means the effective date of this Contract, which shall be the date on which this Contract and the Articles of Association have been approved by the Examination and Approval Authority., This Contract shall take effect after it is approved by the Examination and Approval Authority., ""Effective Date"" means the effective date of this Contract, which shall be the date on which this Contract and the Articles of Association have been approved by the Examination and Approval Authority.",Effective Date,(None entered)
The Contract Term shall extend for a period of fifty (50) years.,Expiration Date,(None entered)
"The formation, validity, interpretation and implementation of this Contract, and any disputes arising under this Contract, shall be governed by the published laws of the People's Republic of China.",Governing Law,China
"Party B and its Affiliates guarantee that following the Effective Date of this Contract, it will not further transfer to any Third Party: i) the proprietary technology for production of Powder (as defined below) to be made into Batteries (as defined below) or ii) the proprietary technology for production of Batteries that use the Bellcore configuration.",Non-Compete,Yes
"Unless it obtains written consent of the other Party and approval of the Examination and Approval Authority, no party to this Contract can transfer all or part of its interest in the registered capital of the Joint Venture Company to a Third Party.",Anti-assignment,Yes
"No Party shall mortgage, pledge or otherwise encumber all or any part of its share of the Joint Venture Company's registered capital without the prior written consent of the other Party.",Anti-assignment,Yes
"Each Party shall have the right to terminate this Contract prior to the expiration of the Contract Term by written notice to the other Party if any of the following events occur:         (1)    in the event that either party fails to make its capital                contribution, in whole or in part, within [90] days of the due                date, or in the event that any of the conditions precedent set                forth in Article 34 of this Contract have not been satisfied or                waived within [120] days of the date on which this Contract is                signed by the parties_         (2)    the other Party materially breaches this Contract or materially                violates the Articles of Association, and such breach or                violation is not cured within sixty (60) days of written notice                to the breaching/violating Party_         (3)    the Joint Venture Company or the other Party becomes bankrupt, or                is the subject of proceedings for liquidation or dissolution, or                ceases to carry on business, or becomes unable to pay its debts                as they come due_         (4)    the other Party transfers all or any part of its share of the                Joint Venture Company's registered capital in violation of the                provisions of this Contract_",Anti-assignment,Yes
Each Party shall have the right to terminate this Contract prior to the expiration of the Contract Term by written notice to the other Party if any of the following events occur:         (4)    the other Party transfers all or any part of its share of the                Joint Venture Company's registered capital in violation of the                provisions of this Contract_,Anti-assignment,Yes
"Except as otherwise provided herein, this Contract may not be assigned in whole or in part by any Party without the prior written consent of the other Party and the approval of the Examination and Approval Authority.",Anti-assignment,Yes
"Party A's contribution to the registered capital of the Joint Venture Company shall be Fourteen Million Six Hundred Fifty-One Thousand United States Dollars (US$14,651,000), representing a forty-nine percent (49%) share of the Joint Venture Company's registered capital. Party B's contribution to the registered capital of the Joint Venture Company shall be Fifteen Million Two Hundred Forty Nine Thousand United States Dollars (US$15,249,000), representing a fifty-one percent (51%) share of the Joint Venture Company's registered capital.",Revenue/Profit Sharing,Yes
"Party B will provide to the Joint Venture Company new inventions, creations and technology related to the Lithium Iron Magnesium Phosphate powder manufacture and battery manufacture and Bellcore battery configuration at no additional charge.",Price Restrictions,Yes
"Party B also guarantees that any new inventions and improvements in the proprietary technology for production of Batteries shall be provided to the Joint Venture Company at no fee, excepting reimbursement of any direct travel or communication costs required for theprovision of such technology, consistent with the terms of the Contract for Technology Investment.",Price Restrictions,Yes
"Party A and Party B shall sign the Contract for Technology Investment simultaneously with the signature of this Contract, and pursuant to the Contract for Technology Investment shall license to the Joint Venture Company the right to utilize proprietary technology (including patented technology), related documentation and know-how for the production of the Joint Venture Products.",License Grant,Yes
Improvements for all other batteries may be licensed to the Joint Venture Company on terms to be agreed by the Party B and the Joint Venture Company.,License Grant,Yes
The Joint Venture Company shall furnish to the Parties unaudited financial reports on a monthly and quarterly basis so that they may continuously be informed about the Joint Venture Company's financial performance.,Audit Rights,Yes
"The Joint Venture Company shall submit to the Parties an annual statement of final accounts (including the audited profit and loss statement and the balance sheet for the fiscal year) after the end of the fiscal year, together with the audit report of the Chinese registered accountant.",Audit Rights,Yes
Party B shall have a right to obtain copies of all of the Joint Venture Company's accounting books and other documents at their own expense but the originals thereof shall be left in the care of Party A.,Audit Rights,Yes
"The Joint Venture Company, at its own expense, shall take out and maintain at all times during the Contract Term with insurance companies insurance against loss or damage by fire, natural disasters and other risks of types and in amounts as may be recommended by the CEO and decided by the Board of Directors.",Insurance,Yes
The Joint Venture Company shall take out the required insurance from an insurance company or organization permitted by Chinese laws and regulations to provide such insurance.,Insurance,Yes
