Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
APPLICATION DEVELOPMENT AGREEMENT,Document Name,APPLICATION DEVELOPMENT AGREEMENT
"InfinixSoft Global LLC, ""Developer"", Clickstream Corporation, ""Client"", Clickstream Corporation, ""Developer"", InfinixSoft Global LLC",Parties,"InfinixSoft Global LLC (""Developer""); Clickstream Corporation (""Client"")"
"March 20, 2020",Agreement Date,03/20/2020,Effective Date,03/20/2020
"This Agreement shall become effective as of the Effective Date and, unless otherwise terminated in accordance with the provisions of Section 4 of this Agreement, will continue until the expiration of the Warranty Period as defined in subsection 9(a) of this Agreement.",Expiration Date,(None entered)
This Agreement shall be governed by the laws of the state of Florida.,Governing Law,Florida
"The Developer shall not develop, maintain or market a similar platform and will not compete with the Client directly or indirectly worldwide.",Non-Compete,Yes
"Because of the trade secret subject matter of DeveloperÕs business, Client agrees that, during the term of this Agreement and for a period of two (2) years thereafter, it will not solicit the services of any of DeveloperÕs employees, consultants or suppliers for ClientÕs own benefit or for the benefit of any other person or entity.",No-Solicit of Employees,Yes
Client has the unilateral right to cancel this agreement at any time within a 7-day notice period.,Termination For Convenience,Yes
"The Developer may not, without the written consent of the Client, assign, subcontract, or delegate its obligations under this Agreement, except that the Developer may transfer the right to receive any amounts that may be payable to it for its Services under this Agreement, which transfer will be effective only after receipt by the Client of written notice of such assignment or transfer.",Anti-assignment,Yes
"The Developer expressly acknowledges and agrees that any all proprietary materials prepared by the Developer under this Agreement shall be considered ""works for hire"" and the exclusive property of the Client unless otherwise specified.",IP Ownership Assignment,Yes
"To the extent such work may not be deemed a ""work for hire"" under applicable law, the Developer hereby assigns to the Client all of its right, title, and interest in and to such work.",IP Ownership Assignment,Yes
The Developer recognizes that the complete Intellectual Property of the project belongs to the Client,IP Ownership Assignment,Yes
"If the Client, in its reasonable discretion, consents, the Client is hereby granted an exclusive, worldwide, royalty-free, perpetual, irrevocable license to use, distribute, modify, publish, and otherwise exploit the incorporated items in connection with the work product developed for the Client.",License Grant,Yes,Irrevocable or Perpetual License,Yes
"The Developer hereby warrants and represents that following delivery of the Application System to the Client (which shall be deeded to occur only on the date the Web Application is uploaded to the AWS for distribution) pursuant to Exhibit A (the ""Support Period""), the Application will be free from programming errors and defects in workmanship and materials, and will conform to the specifications of Exhibit A",Warranty Duration,Yes
"If programming errors or other defects are discovered during the Support Period, the Developer shall promptly remedy those errors or defects at its own expense.",Warranty Duration,Yes
The developer will fix any bugs that may come up from the original contract after the 90 days warranty has passed.,Warranty Duration,Yes
90 days warranty (bugfixing) support is included.,Warranty Duration,Yes
"The Developer recognizes the ClientÕs right, title, and interest in and to all service marks, trademarks, trade names , Copyrights and Patents used by the Client and agrees not to engage in any activities or commit any acts, directly or indirectly, that may contest, dispute, or otherwise impair the ClientÕs right, title, and interest therein, nor shall the Developer cause diminishment of value of said trademarks or trade names through any act or representation",Covenant Not To Sue,Yes
