Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
MARKETING AND RESELLER AGREEMENT,Document Name,MARKETING AND RESELLER AGREEMENT
"Todos Medical Ltd., ""Todos"", Care G. B. Plus Ltd., ""Reseller"", Care G. B. Plus Ltd., ""Todos"", Todos Medical Ltd.",Parties,"Todos Medical Ltd. (""Todos""); Care G. B. Plus Ltd. (""Reseller"")"
20t h day of December 2018,Agreement Date,12/20/2018,Effective Date,12/20/2018
"This Agreement shall be effective as of the Effective Date and shall continue in effect for a period of five (5) years from the ResellerÕs first purchase order for Product issued to Todos (the ""Initial Term""), unless terminated earlier by one of the parties in accordance with the terms of this Section 11.",Expiration Date,12/20/2023
"Upon completion of the Initial Term, provided that the Reseller has achieved the Annual Milestones, the term of the Agreement shall be automatically renewed for an additional five (5) years., Thereafter, at the end of each renewal term, the Agreement shall renew for an additional two (2) years unless one party provides the other party with prior written notice of non-renewal at least sixty (60) days prior to the expiration of the then-current term., Upon completion of the Initial Term, provided that the Reseller has achieved the Annual Milestones, the term of the Agreement shall be automatically renewed for an additional five (5) years.",Renewal Term,5 years; 2 years
"Thereafter, at the end of each renewal term, the Agreement shall renew for an additional two (2) years unless one party provides the other party with prior written notice of non-renewal at least sixty (60) days prior to the expiration of the then-current term.",Notice Period To Terminate Renewal,60 days
"This Agreement shall be governed by and construed in accordance with the laws of the State of Israel, and the courts of Tel-Aviv, Israel",Governing Law,Israel
"Subject to the terms and conditions of this Agreement, Todos hereby grants the Reseller a non-sublicensable, non-transferable, exclusive right to distribute and sell the Products to Customers in the Territory_ provided, however, that Reseller may sub-license or transfer its distribution rights to a subsidiary or affiliate of the Reseller.",Exclusivity,Yes,Non-Transferable License,Yes
"The ResellerÕs exclusive right to market and sell the Products in the Territory is subject to the Reseller achieving the following milestones by the end of each year this Agreement is in effect (the ""Annual Milestones""): Year Annual Milestone(s) Year 1 Not Applicable Each Year Thereafter The parties will agree at the beginning of the year on the Annual Milestone for such year",Exclusivity,Yes
"If the Reseller sells less than 50% of any yearÕs Annual Milestone, Todos, in its sole discretion, may either (a) cancel the ResellerÕs exclusivity, and market, distribute, and sell the Products in the Territory directly or indirectly through other distributors and resellers, while leaving the Reseller with a non-exclusive right to distribute and sell the Products for the remainder of the term, or (b) terminate the Agreement upon one hundred eighty (180) days prior written notice, provided that the Reseller does not cure its failure to achieve 50% of the applicable yearÕs Annual Milestone within the 180-day notice period.",Exclusivity,Yes,Minimum Commitment,Yes
"The Reseller shall have a right of first refusal to include within this Agreement any additional products developed, manufactured, or sold by the Company following the Effective Date that are not currently included in Exhibit A, and upon the exercise of such right, the term ""Products"" shall be expanded to mean such additional products as well.",ROFR/ROFO/ROFN,Yes
"This Agreement and the rights granted hereunder shall not be assigned, encumbered by security interest or otherwise transferred by the Reseller without the prior written consent of Todos, except for the assignment or transfer of rights to a subsidiary company or an affiliated company.",Anti-assignment,Yes
"The Reseller shall be entitled to purchase the Products from Todos for resale to Customers at a price between US$[ ] and US$[ ], with the actual price to be agreed upon by the Parties (the ""Product Price"").",Price Restrictions,Yes
"Subject to the terms and conditions of this Agreement, Todos hereby grants the Reseller a non-sublicensable, non-transferable, exclusive right to distribute and sell the Products to Customers in the Territory; provided, however, that Reseller may sub-license or transfer its distribution rights to a subsidiary or affiliate of the Reseller.",License Grant,Yes
"Subject to the terms and conditions of this Agreement, Todos hereby grants Reseller a limited license to use the Todos name and TodosÕs trademarks, trade names, service marks, logos and related symbols (the ""Todos Marks"") in the performance of its activities hereunder and in the marketing of the Products in the Territory.",License Grant,Yes
The Reseller shall be entitled to enter into agreements with its subsidiaries and affiliates to act as sub-distributors and/or selling agents of the Products in the Territory.,Affiliate License-Licensee,Yes
Todos shall have the right to have an inspection and audit of all the relevant accounting and sales books and records of Reseller conducted by an independent auditor reasonably acceptable to both parties,Audit Rights,Yes
"Except with regard to a breach of confidentiality, a partyÕs indemnification obligations hereunder, or infringement of intellectual property rights, either partyÕs total liability to the other party under this Agreement shall be limited to the amounts paid or payable by the Reseller to Todos during the twelve-month period preceding the interposition of the claim.",Uncapped Liability,Yes,Cap on Liability,Yes
"IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR ANY INCIDENTAL, CONSEQUENTIAL, INDIRECT, SPECIAL, OR PUNITIVE DAMAGES (INCLUDING, BUT NOT LIMITED TO, LOST PROFITS, BUSINESS INTERRUPTION, LOSS OF BUSINESS INFORMATION OR OTHER PECUNIARY LOSS) REGARDLESS OF WHETHER SUCH LIABILITY IS BASED ON BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT LIABILITY, BREACH OF WARRANTIES, FAILURE OF ESSENTIAL PURPOSE OR OTHERWISE AND EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Cap on Liability,Yes
"Todos warrants that for a period of one (1) year from the date of delivery of each Product to the Reseller, the Product, except for those components that have a shorter expiration date as set forth on Exhibit A, shall perform substantially in accordance with the ProductÕs documentation and specifications, and shall be free from all defects in materials, manufacture, and workmanship.",Warranty Duration,Yes
"Each party shall carry appropriate and commercially reasonable amounts of insurance adequate for the activities detailed in this Agreement, as well as sufficient levels of all legally mandated insurance, if any.",Insurance,Yes
