Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
ENDORSEMENT AGREEMENT,Document Name,ENDORSEMENT AGREEMENT
"GENO AURIEMMA, ""Auriemma"", BERKSHIRE BANK, ""Berkshire"", (Each or both of which shall  hereinafter be referred to as the ""PARTY""Êor ""PARTIES,""Êrespectively)., ""Berkshire"", BERKSHIRE BANK, ""Auriemma"", GENO AURIEMMA",Parties,"Geno Auriemma (Auriemma); Berkshire Bank (Berkshire)(""Party"" or ""Parties"")"
5/17/12,Agreement Date,05/17/2012
"""CONTRACT PERIOD""Êmeans that period of time commencing upon the full execution of this Agreement by both Parties and  terminating on May 31, 2016 unless sooner terminated under this Agreement.",Expiration Date,05/31/2016
This Agreement shall be governed by and construed in accordance with the laws of the State of Connecticut.,Governing Law,Connecticut
"Auriemma grants to Berkshire the exclusive right and license (the ""License Rights"") to use the Auriemma Identification during the  Contract Period and throughout the Contract Territory solely in connection with the advertisement and promotion of Berkshire and the Financial  Services;",Exclusivity,Yes
"The License Rights are exclusive to Berkshire and may not be assigned or in any way conveyed by Berkshire without AuriemmaÕs  express written consent, except in the event of a merger by Berkshire with another entity offering Banking Services.",Exclusivity,Yes,Non-Transferable License,Yes
"Auriemma expressly agrees and undertakes that:  Ê  a) The right to use the Auriemma Identification has not been previously granted nor will it be granted to anyone other than Berkshire  for use during the Contract Period within the Contract Territory in connection with the advertisement, promotion and sale of products and services  which are the same as or similar to any of the Financial Services;  Ê  b) Auriemma will not enter into any arrangement or agreement, which enables any Berkshire Competitor to be endorsed by Auriemma  (whether by using the Auriemma Identification, Auriemma providing services similar to the Endorsement Services, or otherwise) during the  Contract Period within the Contract Territory.",Exclusivity,Yes
Berkshire may terminate this Agreement immediately by giving Auriemma notice if (i) Auriemma dies or is prevented by injury or illness from  satisfactorily performing the obligations required by this Agreement; (ii) Auriemma is convicted of a felony or criminal offense involving  dishonesty or fraud; or (iii) Auriemma publicly disparages Berkshire and/ or its products.,Non-Disparagement,Yes
"In the case of reorganization, merger, consolidation, or sale of all or substantially all of its  assets, any attempt to assign this Agreement other than as permitted above will be null and void.",Change of Control,Yes
"Berkshire may not assign this Agreement,  in whole or in part, without AuriemmaÕs written consent.",Anti-assignment,Yes
"Unless otherwise agreed to in advance, no appearance shall exceed a total of two (2) hours in duration.",Volume Restriction,Yes
"Auriemma will participate in one (1) recording session annually during the Services Period of not more than two (2) hours, not including travel  time, to record a radio advertising spot at a date and location to be mutually agreed upon;  Ê  3. Auriemma will participate in one (1) production session annually during the Services Period of not more than three (3) hours, not including travel  time, to record a television advertising spot at a date and location to be mutually agreed upon;  Ê  4. Auriemma will participate in one (1) photo session annually during the Services Period of not more than two (2) hours, not including travel time,  at a date and location to be mutually agreed upon;  Ê  5. Auriemma will be available for two (2) appearances annually during the Services Period within the Contract Territory, the date and location to be  mutually agreed upon, each not more than one (1) hour in duration, where Auriemma will meet, greet and pose for photos.",Volume Restriction,Yes
"Auriemma grants to Berkshire the exclusive right and license (the ""License Rights"") to use the Auriemma Identification during the  Contract Period and throughout the Contract Territory solely in connection with the advertisement and promotion of Berkshire and the Financial  Services",License Grant,Yes
"Notwithstanding the foregoing, if the Agreement is  terminated for any reason other than BerkshireÕs material breach, then for thirty (30) days following such termination, Berkshire may continue to  use any printed material already produced under this Agreement.",Post-termination Services,Yes
