Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
NON-EXCLUSIVE DISTRIBUTOR AGREEMENT,Document Name,NON-EXCLUSIVE DISTRIBUTOR AGREEMENT
"iMine Corporation, ""JRVS"", SUNWAI Technology, ""Distributor"", SUNWAI Technology, ""JRVS"", iMine Corporation",Parties,"iMine Corporation (""JRVS""); SUNWAI Technology (""Distributor"")"
19th day of July 2018,Agreement Date,07/19/2018
"This Agreement shall become effective upon the date first written above and shall remain in full force and effect for a period of two years (2), unless earlier terminated pursuant to the provisions in this Agreement.",Effective Date,07/19/2018,Expiration Date,07/19/2020
"This Agreement shall be governed by and construed pursuant to the laws of the State of Indiana, U.S.A., without reference to principals of conflicts of laws.",Governing Law,Indiana
"The Distributor shall not, during the term of this Agreement, directly or indirectly market, sell, distribute, solicit orders within the Territory for any products which are competitive with the iMine Products unless JRVS consents thereto in writing in advance, based upon the DistributorÕs full disclosure of the material facts in seeking such consent.",Non-Compete,Yes
"This Agreement may be terminated by either party for any reason or no reason, whether or not extended beyond the initial term, by giving the other party written notice ninety (90) days in advance.",Termination For Convenience,Yes
"The Distributor shall not assign any of its rights, obligations or privileges (by operation of law or otherwise) hereunder without the prior written consent of JRVS.",Anti-assignment,Yes
The DistributorÕs single purchase order amount shall be a minimum of five units.,Minimum Commitment,Yes
"In such cases, products may be ordered in multiples of smaller units (calculated in number of reels or tubes), and in no events shall exceed three such units.",Volume Restriction,Yes
"Subject to the terms and conditions of this Agreement, JRVS appoints the Distributor, and the Distributor hereby accepts such appointment, as JRVSÕS non-exclusive authorized distributor for sale of the Products to the Customers (other than House Account) in the Territory (as these terms are defined in Section 1.8, above).",License Grant,Yes
"JRVS shall be entitled at any time to audit the DistributorÕs books and records upon reasonable notice in order to confirm the accuracy of the Reports set forth in Section 3.4; provided, that no more than one such audit may be conducted in any three-month period. Any JRVS-elected audit shall be performed at JRVSÕs own expense during normal business hours; Distributor shall provide reasonable assistance to JRVS for the audit.",Audit Rights,Yes
"Additionally, the Distributor shall provide JRVS with its audited financial statements within three (3) months of the end of its fiscal year.",Audit Rights,Yes
"In the event of termination by either party in accordance with any of the provisions of this Agreement, neither party shall be liable to the other, because of such termination, for compensation, reimbursement or damages on account of the loss of prospective profits or anticipated sales or on account of expenditures, inventory, investments, leases or commitments in connection with the business or goodwill of either party.",Cap on Liability,Yes
IN NO EVENT SHALL JRVSÕS LIABILITY ARISING OUT OF THIS AGREEMENT EXCEED THE AMOUNT RECEIVED BY JRVS FROM THE DISTRIBUTOR HEREUNDER FOR THE PRODUCT GIVING RISE TO THE LIABILITY.,Cap on Liability,Yes
"IN NO EVENT SHALL JRVS BE LIABLE FOR COSTS OF PROCUREMENT OF SUBSTITUTE PRODUCTS OR SERVICES, LOST PROFITS OR ANY CONSEQUENTIAL, SPECIAL, INCIDENTAL, OR INDIRECT DAMAGES, HOWEVER CAUSED AND ON ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE OR STRICT LIABILITY), ARISING OUT OF THIS AGREEMENT.",Cap on Liability,Yes
"NO ACTIONS, REGARDLESS OF FORM, ARISING OUT OF THIS AGREEMENT, MAY BE BROUGHT BY DISTRIBUTOR MORE THAN ONE (1) YEAR AFTER THE CAUSE OF ACTION HAS ARISEN.",Cap on Liability,Yes
"At no time during or after the term of this Agreement will the Distributor challenge or assist others to challenge JRVS Trademarks or the registration thereof or attempt to register any trademarks, marks or trade names confusingly similar to those of JRVS. T",Covenant Not To Sue,Yes
The Distributor will not challenge any intellectual property rights claimed by JRVS in such trademarks.,Covenant Not To Sue,Yes
