Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CONTENT LICENSE AGREEMENT,Document Name,CONTENT LICENSE AGREEMENT
"Digicorp, Inc., ""COMPANY"", New China Media LLC, a/k/a New China Media Limited, ""NCM"", YGP, LLC,, ""YGP"", TWK Holdings, LLC, ""TWK"", (NCM, YGP and TWK shall be individually and collectively referred to as ""CONTENT PROVIDER""), (COMPANY and CONTENT PROVIDER are hereinafter sometimes collectively referred to as the ""Parties"")., (NCM, YGP and TWK shall be individually and collectively referred to as ""CONTENT PROVIDER""), ""TWK"", TWK Holdings, LLC, ""YGP"", YGP, LLC,, ""NCM"", a/k/a New China Media Limited, New China Media LLC, ""COMPANY"", Digicorp, Inc.",Parties,"Digicorp, Inc. (""Company""); New China Media LLC ((a/k/a New China Media LLC) (""NCM""); YGP, LLC (""YGP""); TWK Holdings, LLC. (""TWK""); (NCM, YGP and TWK individually and collectively referred to as ""CONTENT PROVIDER"")(COMPANY and CONTENT PROVIDER are hereinafter sometimes collectively referred to as the ""Parties"")"
"2nd day of June, 2008",Agreement Date,06/02/2008,Effective Date,06/02/2008
"This Agreement and the provisions hereof, except as otherwise provided, shall be in full force and effect commencing on the date of execution by both Parties and shall extend for an initial term of two (2) years.",Expiration Date,06/02/2010
"This Agreement shall be automatically renewed for additional extended terms each of two (2) years duration unless either party notifies the other in writing of its intention not to renew the Agreement, such notification to be provided at least ninety (90) days prior to the expiration of the then in-effect term.",Renewal Term,successive 2 years,Notice Period To Terminate Renewal,90 days
"This Agreement is to be governed by and construed in accordance with the Laws of the State of California applicable to contracts made and to be performed wholly within such State, and without regard to the conflicts of laws principles thereof.",Governing Law,California
"In this regard, it is specifically understood and agreed that CONTENT PROVIDER will not during the Term of this Agreement take any action to exploit or otherwise use, reproduce, distribute, transmit and publicly display any of the Content via the internet to Universities and College students in the PeopleÕs Republic of China except for the benefit of the COMPANY.",Non-Compete,Yes,Exclusivity,Yes,License Grant,Yes
"COMPANY may, in its unfettered discretion, terminate this Agreement at any time after first givingCONTENT PROVIDER ten (10) days advance notice thereof.",Termination For Convenience,Yes
"In consideration for the license of rights granted hereunder in the Current Content, COMPANY hereby agrees to issue to YGP 16,200 shares of its Series A Convertible Preferred Stock for which YGP will pay COMPANY the sum of $1.00 per share or $16,200 in the aggregate; NCM 3,000 of its Series A Convertible Preferred Stock for which NCM will pay COMPANY the sum of $1.00 per share or $3,000 in the aggregate and TWK 12,000 of its Series A Convertible Preferred Stock for which TWK will pay COMPANY the sum of $1.00 per share or $12,000 in the aggregate.",Revenue/Profit Sharing,Yes
"In addition to the foregoing, and subject to the terms and conditions of the applicable content agreement with such Licensor, COMPANY agrees to pay directly to each Licensor from whom CONTENT PROVIDER might obtain Content which CONTENT PROVIDER licenses to COMPANY pursuant hereto a royalty equal to that royalty which CONTENT PROVIDER might be obligated to pay to that Licensor with respect to the use and exploitation of that Content in the manner licensed to and actually used by COMPANY pursuant hereto provided, however, unless the Parties might agree in writing to the contrary, in no event will COMPANY be obligated to pay such Licensor for the use of such Content more than fifty percent (50.0%) of all revenues generated during the Term of this Agreement from banner advertising that appears on Web site pages that display that Content or any portion thereof and with respect to which at least a majority of the content (excluding advertisements) on such pages is composed of the Content (the ""Net Advertising Revenue"").",Revenue/Profit Sharing,Yes,Price Restrictions,Yes
"Subject to the terms and conditions of this Agreement, CONTENT PROVIDER hereby grants and assigns by means of present assignment to COMPANY and COMPANY hereby assumes for the Term of this Agreement (as set forth in paragraph 8, below), CONTENT PROVIDERÕS rights and obligations regarding the Content from Licensors as set forth in Exhibit A with respect to the right and license for the territory of the People Republic of China to use, reproduce, distribute, transmit and publicly display the Current Content and the Future Content by means of the internet in accordance with Exhibit A and this Agreement.",License Grant,Yes
"Each party hereby grants to the other a non-exclusive, limited royalty-free license to use its trademarks, service marks or trade names only as specifically described in this Agreement.",License Grant,Yes
"CONTENT PROVIDER further grants to COMPANY (i) the right to sublicense the Content to COMPANYÕS wholly-owned subsidiaries or to joint ventures in which COMPANY participates for the sole purpose of using, reproducing, distributing, transmitting and publicly displaying the Content in accordance with this Agreement; and, (ii) the right, in COMPANYÕS discretion, to use and exploit the Content at one or more other web sites in addition to or in lieu of the web sites referred to in the recital above (the web sites referred to above and any other web sites in addition to or in lieu thereof where COMPANY, its subsidiaries or joint ventures in which it might participate might use or exploit the Content are hereinafter collectively referred to as the ""Web site"").",Affiliate License-Licensee,Yes
COMPANYÕS obligation for the payment of the Net Advertising Revenue shall survive expiration or termination of this Agreement and will continue for as long as COMPANY continues to use the Content.,Post-termination Services,Yes
"All books and records relative to COMPANYÕS obligations to a particular Licensor hereunder shall be maintained and made accessible to that Licensor for inspection at a location in Los Angeles, California for at least twelve (12) months after termination of this Agreement.",Post-termination Services,Yes
"The Licensors shall have the right, upon reasonable notice, to inspect COMPANYÕS books and records and all other documents and material in COMPANYÕS possession or control with respect to the Content each has or might license to CONTENT PROVIDER which becomes the subject matter of this Agreement (and only with respect to Content each has or might license to CONTENT PROVIDER which become the subject matter hereof).",Audit Rights,Yes
"IN NO EVENT WILL CONTENT PROVIDER BE LIABLE TO COMPANY NOR WILL COMPANY BE LIABLE TO CONTENT PROVIDER FOR ANY SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES, WHETHER BASED ON BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE) OR OTHERWISE, WHETHER OR NOT THAT PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE, LIABILITY OF CONTENT PROVIDER FOR DAMAGE HEREUNDER, WHETHER IN CONTRACT, TORT OR ANY OTHER LEGAL THEORY, IS LIMITED TO AND SHALL NOT EXCEED $31,200.00.",Cap on Liability,Yes
