Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
AMENDMENT NO. 1,Document Name,AMENDMENT NO. 1
Wireless Content License Agreement Number 12965,Document Name,Wireless Content License Agreement Number 12965
"Glu Mobile, Inc. f/k/a Sorrent, Inc., Fox Mobile Entertainment, Inc., ""Fox"", ""Licensee"", ""Fox"", Fox Mobile Entertainment, Inc., Glu Mobile, Inc. f/k/a Sorrent, Inc.",Parties,"Fox Mobile Entertainment (""Fox""); Glu Mobile, Inc. f/k/a Sorrent, Inc. (""Licensee"")"
"November 18, 2005",Agreement Date,11/18/2005
"Licensee shall have the non-exclusive right and license to develop and distribute ICE AGE 2 Wireless Products during the Term of the Agreement for all Wireless Products set forth in this Paragraph 2(c) except the Game, for which Licensee shall have the exclusive right and license to develop and distribute until December 31, 2006.",Exclusivity,Yes,License Grant,Yes
"For the avoidance of doubt, LicenseeÕs right and license to develop and distribute the Game in connection with the Property ""ICE AGE 2"" shall become non-exclusive after December 31, 2006.",Exclusivity,Yes
"Paragraph 1(a) of the Agreement is amended to provide that Fox grants Licensee a worldwide, exclusive (except as otherwise may be provided in the Agreement), non-transferable right and license to distribute video clips for the property ""KINGDOM OF HEAVEN"" (""KOH Video Clips"")",Exclusivity,Yes
"At such time that ***** percent (*****%) of the Guarantee Forfeiture Payment is recouped by Licensee, Fox shall earn and Licensee shall pay to Fox Royalties at the rate of ***** percent (*****%) of LicenseeÕs gross receipts from LicenseeÕs sale, license, distribution or other exploitation of the IN HER SHOES Wireless Product.",Revenue/Profit Sharing,Yes
"At such time that ***** percent (*****%) of the Guarantee Forfeiture Payment is recouped by Licensee, Fox shall earn and Licensee shall pay to Fox Royalties at the rate of ***** percent (*****%) of LicenseeÕs gross receipts from LicenseeÕs sale, license, distribution or other exploitation of the IDIOCRACY Wireless Product.",Revenue/Profit Sharing,Yes
"In addition to any outstanding Guarantee payments which Licensee shall pay to Fox as set forth in Paragraph 3 of this Amendment below, Licensee shall pay to Fox a minimum recoupable guarantee of ***** dollars (US$*****) on or before ***** (""ICE AGE 2 Guarantee""), and   *****  The omitted portions of this exhibit have been filed with the Securities and Exchange Commission pursuant to a request for confidential treatment under Rule 406 promulgated under the Securities Act of 1933. Source: GLU MOBILE INC, S-1/A, 3/19/2007 Fox shall earn, and Licensee shall pay the applicable Major Release Royalties as set forth in Paragraph 7(a)(i) of the Agreement in connection with the property ""ICE AGE 2"".",Revenue/Profit Sharing,Yes,Minimum Commitment,Yes
"In addition to any outstanding Guarantee payments which Licensee shall pay to Fox as set forth in Paragraph 3 of this Amendment below, Licensee shall pay to Fox a minimum recoupable guarantee of ***** dollars (US$*****) on or before ***** (""ICE AGE 2 Guarantee""), and Fox shall earn, and Licensee shall pay the applicable Major Release Royalties as set forth in Paragraph 7(a)(i) of the Agreement in connection with the property ""ICE AGE 2"".",Revenue/Profit Sharing,Yes
"Paragraph 7 of the Agreement is amended to provide that with respect to the KOH Video Clips, Fox shall be entitled to receive an amount equal to ***** percent (*****%) of ***** percent (*****%) of the Gross Receipts derived from the distribution of the KOH Video Clips from the first dollar Licensee earns (""KOH Video Clips Revenue"").",Revenue/Profit Sharing,Yes
"Should Fox or its assigns choose to distribute the Wireless Products through FoxÕs and its assignsÕ direct-to-consumer distribution channels, Fox or its assigns shall deduct a percentage of FoxÕs Gross Receipts (defined as monies received by or credited to Fox or its assigns from FoxÕs or its assignsÕ direct-to-consumer distribution channels, for the download of the Wireless Products by end users, or the sale or download of Wireless Products to end users) collected from the sale of such Wireless Products (""Distribution Fee"") in the amount of ***** percent (*****%) of FoxÕs Gross Receipts.",Revenue/Profit Sharing,Yes
"After Fox or its assigns deducts its Distribution Fee, it shall remit the remainder to Licensee and Licensee shall pay to Fox or its assigns or such other party as Fox or its assigns may designate in writing, Royalties in the amounts set forth in the Agreement or this Amendment.",Revenue/Profit Sharing,Yes
"Licensee shall develop and distribute the following Wireless Products in connection with the property ""ICE AGE 2"": (i) 1 Java Game; (ii) 1 Java Application (ÔScreensaverÕ) where feasible; (iii) up to 5 MMS; (iv) up to 10 Wallpapers; (v) and up to 5 Voicetones (""ICE AGE 2 Wireless Products"") in each of the following five (5) languages: English, French, German, Italian, Spanish, with Portuguese, Greek, Dutch and Swedish to be made available where practicable.",Volume Restriction,Yes
"Notwithstanding the foregoing, in no event will Fox develop, publish and/or distribute games derived from the Property ""ICE AGE 2"" prior to January 1, 2007.",License Grant,Yes
"Paragraph 1(a) of the Agreement is amended to provide that Fox grants Licensee a worldwide, exclusive (except as otherwise may be provided in the Agreement), non-transferable right and license to distribute video clips for the property ""KINGDOM OF HEAVEN"" (""KOH Video Clips"").",License Grant,Yes,Non-Transferable License,Yes
