Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
TRADEMARK LICENSE AGREEMENT,Document Name,TRADEMARK LICENSE AGREEMENT
"New Mountain Capital, L.L.C., the ""Licensor"", NMF Senior Loan Fund I, Inc., the ""Licensee"", The Licensor and the Licensee are sometimes referred to herein separately as a ""party"" and collectively as the ""parties."", the ""Licensee"", NMF Senior Loan Fund I, Inc., the ""Licensor"", New Mountain Capital, L.L.C.",Parties,"New Mountain Capital, LLC. (""Licensor""); NMF Senior Loan Fund I, Inc. (""Licensee"")(""party"" and collectively as the ""parties"")"
"[á], 2019",Agreement Date,[]/[]/2019,Effective Date,[]/[]/2019
"The license granted to the Licensee under this Agreement shall continue perpetually, Notwithstanding the foregoing, this Agreement shall expire if the Investment Advisor or one of its affiliates ceases to serve as investment adviser to the Licensee., The license granted to the Licensee under this Agreement shall continue perpetually",Expiration Date,perpetual
"This Agreement shall be governed by, and construed in accordance with, the laws of the State of New York without giving effect to the principles of conflicts of law rules.",Governing Law,New York
The Licensee shall not by any act or omission use the Licensed Mark in any manner that disparages or reflects adversely on Licensor or its business or reputation.,Non-Disparagement,Yes
This Agreement shall be terminable (a) by the Licensor upon sixty (60) daysÕ written notice by the Licensor to the Licensee or (b) by the Licensee upon sixty (60) daysÕ written notice by the Licensee to theLicensor.,Termination For Convenience,Yes
This Agreement shall be terminable (a) by the Licensor (i) at any time and in its sole discretion in the event that the Licensor or the Licensee receives notice of any Third Party Claim arising out of the LicenseeÕs use of the Licensed Mark or (ii) upon sixty (60) daysÕ written notice by the Licensor to the Licensee or (b) by the Licensee (i) at any time in the event such Licensee assigns or attempts to assign or sublicense this Agreement or any of the LicenseeÕs rights or duties hereunder without the prior written consent of the Licensor or (ii) upon sixty (60) daysÕ written notice by the Licensee to the Licensor.,Termination For Convenience,Yes,Anti-assignment,Yes
"The Licensee shall not sublicense, assign, pledge or grant as security or otherwise encumber or transfer to any third party all or any part of its rights or duties under this Agreement, in whole or in part, without the prior written consent from the Licensor, which consent the Licensor may grant or withhold in its 3 Source: NMF SLF I, INC., 10-12G/A, 1/15/2020sole and absolute discretion.",Anti-assignment,Yes
"The Licensee shall not sublicense, assign, pledge or grant as security or otherwise encumber or transfer to any third party all or any part of its rights or duties under this Agreement, in whole or in part, without the prior written consent from the Licensor, which consent the Licensor may grant or withhold in its sole and absolute discretion.",Anti-assignment,Yes
Any purported transfer or other encumbrance without such consent shall be void ab initio.,Anti-assignment,Yes
This Agreement shall be terminable (b) by the Licensee (i) at any time in the event such Licensee assigns or attempts to assign or sublicense this Agreement or any of the LicenseeÕs rights or duties hereunder without the prior written consent of the Licensor.,Anti-assignment,Yes
"The Licensee hereby assigns and agrees to assign any rights it may have as a result of its licensed use, including common law rights, in the Licensed Mark, to Licensor.",IP Ownership Assignment,Yes
"Subject to the terms and conditions of this Agreement, the Licensor hereby grants to the Licensee, and the Licensee hereby accepts from the Licensor, a personal, non-exclusive, royalty-free right and license to use the Licensed Mark in the Territory solely and exclusively as a component of the LicenseeÕs own company name and in connection with the Licensed Services and any business provided in conjunction therewith by such Licensee.",License Grant,Yes,Non-Transferable License,Yes
"For twenty-four (24) months following termination of this Agreement, the Licensee shall specify on all public- facing materials in a prominent place and in prominent typeface that the Licensee is no longer operating under the Licensed Mark, is no longer associated with the Licensor, or such other notice as may be deemed necessary by the Licensor in its sole discretion in its prosecution, defense, and/or settlement of any Third Party Claim.",Post-termination Services,Yes
"The Licensee shall not otherwise contest, dispute, or challenge the LicensorÕs right, title, and interest in and to the Licensed Mark.",Covenant Not To Sue,Yes
"The parties agree that the Investment Advisor shall be a third party beneficiary of this Agreement, and shall have the rights and protections provided to the Licensee under this Agreement.",Third Party Beneficiary,Yes
